about,image_url,name,title_company_location,friends,links
"Travis has played many roles at HP doing everything from building web applications on the HP.com portal to creating multiple brand new HP software products from the ground up. He's experienced first hand the fun of a live deployment at 3:00 AM as well as the joys of traveling with HP executives to present Cloud strategy to lead industry analysts at Gartner and IDC.,,Travis loves tech, but also loves spending time getting away from it all in the Colorado mountains.",//static.sched.org/a2/641936/avatar.jpg.75x75px.jpg,Travis Tripp,"Master Technologist - HP Cloud,         HP,Fort Collins, CO",,
Still discoverin myself....,//m.c.lnkd.licdn.com/mpr/mprx/0_y_g-sBWlM5lSqCRap8Y3sqd-Rb6un3EaO3WSszeCX3-yW5gmr5SOqvpuzEQPz6wGg8x2vtsmd0Lc,Vijay Tripathi,"SDET II,         Microsoft,Bellevue, Washington",,"http://www.facebook.com/profile.php?id=627046871,http://Facebook Page: http://www.facebook.com/vjtripathi"
I lead the Cloud Services team at Comcast.,,Greg Otto,"Executive Director,         Comcast,West Chester, PA",,http://www.comcast.com
,https://graph.facebook.com/708623802/picture?type=normal,Tihomir Trifonov,"Co-founder and Chief Code Runner,         CloudRunner.io,Near to the beach ;)","Jesse Proudman,Joshua McKenty,Mark McLoughlin,Randy Bias,Rob Hirschfeld,Thierry Carrez,Valentin Oreshkov","http://twitter.com/_tisho,http://www.facebook.com/profile.php?id=708623802"
,https://graph.facebook.com/1354791021/picture?type=normal,Piyush Srivastava,"Dallas, Texas",,"http://www.facebook.com/profile.php?id=1354791021,http://piyush0101.github.com"
"Mr. Takashi Torii has been a member of the research laboratories of NEC, and in 2012,joined Okinawa Open Laboratories, which was founded by NTT Communications, NEC,Corporation, and IIGA Co in cooperation with the government of Okinawa prefecture.,Mr. Takashi Torii is now the manager of OpenStack related incubation activities in,NEC, and also is responsible for designing the architecture of the OOL test bed, and,also is the board member of Japan OpenStack User Group.",//static.sched.org/a4/1369036/avatar.jpg.75x75px.jpg,Takashi Torii,NEC,,
,,Noboru Torigoe,"DeNA, Co. Ltd.,Tokyo,Japan",,
"Dr. Brad Topol is an IBM Distinguished Engineer in the SWG Open Technologies Strategy organization. In his current role, Brad leads a development team focused on contributing to and improving OpenStack and he has cross-IBM responsibility for coordinating its contributions to OpenStack.  Brad is an OpenStack Active Technical Contributor and has personally contributed to multiple OpenStack projects including Keystone and DevStack.  Over the years, Brad has been involved in advanced technology projects in the areas of product serviceability, autonomic computing, content transcoding, and Web Services.  He received a Ph.D. in Computer Science from the Georgia Institute of Technology in 1998.",//graph.facebook.com/1062965024/picture?type=normal,Brad Topol,"IBM Distinguished Engineer, OpenStack,         IBM,Raleigh-Durham, North Carolina Area",,
"Joe currently lives in Calgary, building and automating clouds for Cybera. Joe is also a co-author of the OpenStack Operations Guide.",//static.sched.org/a4/1080611/avatar.jpg.75x75px.jpg,Joe Topjian,"Systems Architect,         Cybera,Calgary, AB, Canada","Everett Toews,Thierry Carrez,Tim Bell","http://twitter.com/jtopjian,http://cybera.ca"
I work on Scientific workflows using hybrid cloud environments.,//static.sched.org/a4/1511588/avatar.jpg.75x75px.jpg,Salman Toor,"Postdoc Researcher,         Helsinki Institute of Physics,Helsinki",,http://www.it.uu.se/katalog/salto690
,,Shigehiro Ueda,,,
Software developer for the Rackspace team committed to expanding capabilities and performance of OpenStack Networking services with primary focus on Load Balancers (LBaaS).,//static.sched.org/a4/1371709/avatar.jpg.75x75px.jpg,Phillip Toohill,"Software Developer,         Rackspace,San Antonio TX",,
Certified:PMPCCNPVCA-Cloud and DC.,//pbs.twimg.com/profile_images/441605165330599936/MAfq9yHm_bigger.png,Cuong Manh Tong,"VDC IT,Hanoi, Vietnam","Anne Gentle,Joshua McKenty,Joe Arnold,Scott Sanchez,Thierry Carrez,Tim Bell","http://twitter.com/OpenStack_VN,http://www.facebook.com/profile.php?id=100000384313253"
"Im interested in Openstack and in particular in the networking Neutron part.,",//static.sched.org/a4/1511858/avatar.jpg.75x75px.jpg,Radoslaw Tomaszewski,"Linux,         Rackspace,London, United Kingdom",,"http://www.facebook.com/profile.php?id=1420470257,http://rtomaszewski.blogspot.com"
,,Jerome Tollet,"CTO,         Qosmos,Paris",,
"I'm a Developer Advocate at Rackspace making OpenStack and the Rackspace Cloud easy to use for developers and operators. Sometimes developer, sometimes advocate, and sometimes operator. I'm a committer and PMC on Apache jclouds, and co-author of the OpenStack Operations Guide from O'Reilly. In the past I've developed web applications, taught workshops at conferences including SXSW and Gluecon, and presented at conferences including OSCON and the OpenStack Summits. I love spending time with my family. If it's calm outside, we launch rockets. If it's windy, we fly kites.",//pbs.twimg.com/profile_images/3756796588/5fa4fdf087b04379b16e2d181c6ff8c7_bigger.png,Everett Toews,"Developer Advocate,         Rackspace,Austin, TX","Anne Gentle,Tristan Goode,Carina C. Zona,Colin McNamara,Rich Bowen,Ed Leafe,Jay Faulkner,Jason Baker,Joshua McKenty,Joe Topjian,Kevin Jackson,Kurt Griffiths,Matt Ray,Nati Shalom,Jim Meyer,Rob Hirschfeld,Sean Dague,Sean Roberts,Terry Howe,Thierry Carrez,Tim Bell","http://twitter.com/everett_toews,http://www.rackspace.com"
,,Simona Iuliana Toader,,,
I am working in Managing Scientific Applications in Distributed Computing Infrastructures (DCI).  We have designed a hybrid cloud setup based on private and community Cloud  resources in Helsinki. Apart from Cloud orchestration I am also working on Hadoop and Spark based scientific workflows.,//static.sched.org/a4/1467198/avatar.jpg.75x75px.jpg,Salman Toor,"Postdoc Researcher,         Helsinki Institute of Physics,Helsinki",,http://www.it.uu.se/katalog/salto690
"""My country is the world, and my religion is to do good."" - T. Paine",//static.sched.org/a4/420920/avatar.jpg.75x75px.jpg,Max Tkach,"Technical Leader CloudServices,         MercadoLibre Inc.,Buenos Aires, Argentina",,
,,Thai Tran,"software engineer,         IBM",,
,,Adelina Tuvenie,"Cloud Engineer,         Cloudbase Solutions,Romania",,http://www.cloudbase.it
"Serving as technical lead and one of the architects in the development team of the Application Catalog Service for OpenStack (codename Murano ), Alexander has more than 10 years of experience in Software Development in both enterprise and open-source projects. He currently works full-time on the Upstream Openstack activities, with primary focus on Glance Artifacts initiative.",//static.sched.org/a4/1369062/avatar.jpg.75x75px.jpg,Alexander Tivelkov,"Principal Software Engineer,         Mirantis, inc,Moscow, Russia","Evgeniya Shumakher,Kirill  Shileev,Ilya,Timur  Nurlygayanov,Yuri  Shovkoplias","http://www.facebook.com/profile.php?id=1051227491,http://www.mirantis.com"
",,",//static.sched.org/a3/330204/avatar.jpg.75x75px.jpg,Lew Tucker,"VP/CTO,         Cisco,San Jose, CA",,
Jack of all trades - master of none...,https://graph.facebook.com/667866364/picture?type=normal,Bryan Thompson,"Sr. Director of Product Management, Private Cloud,         Rackspace,Austin, Texas",,"http://www.facebook.com/profile.php?id=667866364,http://www.rackspace.com"
,https://media.licdn.com/mpr/mprx/0_u_fFGJ7rdZqENWrsuQxZGUIPLsGw9WTsGFRZGse7Vx9sdDnVh50IuVpTIqCvvm8nS8DJDjsTPS5M,Nicolas Thomas,"Solution Architect,         Canonical,Grenoble, France","Dave Neary, Red Hat,Emilien Macchi,Julien Danjou,Jonathan Le Lous,Mark McLoughlin,Nati Shalom,Nick (Nicolas) Barcet,Ramon Acedo,Randy Bias,Sage Weil,Steven Vaughan-Nichols,Thierry Carrez,Lefort,Tim Bell","http://twitter.com/thomnico,http://www.facebook.com/profile.php?id=1408995117"
,,Édouard Thuleau,"Network Engineering,         Cloudwatt,France",,https://www.cloudwatt.com/
"Cynthia is a member of the Systems Engineering team at Midokura and excited about the future of networking! She enjoys highlighting the emerging technologies in network virtualization as the needs of customers evolve. Her background in networking hardware spans from Telco, Data Center, and Campus/Enterprise solutions.",//static.sched.org/a4/1369138/avatar.jpg.75x75px.jpg,Cynthia Thomas,"Systems Engineer,         Midokura,Palo Alto, CA",,http://www.midokura.com
,//static.sched.org/a3/1135805/avatar.jpg.75x75px.jpg,Arvind Tiwari,,,
"CEO , OW2 Consortium ( France),Cedric Thomas, is OW2 CEO. An IT industry veteran with twenty-five years of experience in strategic and marketing consulting for IT vendors and systems integrators, Cedric has masterminded the launch of the OW2 Consortium. Previously, as both an investor and a consultant with FronTier Associates, the consulting company he founded in 1997, he actively took part in three IPOs, contributed to the launch of several technology start-ups, helped establish a start-up incubator in Paris and set up technology firms in Boston and San Francisco. Before that, he was VP and Research Director at PAC, an independent provider of consultancy and marketing studies for the IT industry where he established successful research programs in Open Systems, IT spending and Outsourcing. Cédric studied for his PhD in Economics at the Sorbonne and holds a Master’s degree in Computer Science from the University of Paris. He teaches business strategy in several master programs.",//static.sched.org/a/171004/avatar.jpg.75x75px.jpg,Cedric Thomas,"CEO,         OW2",,http://www.ow2.org
,,Dan Toledano,"Regional Sales Directo,         Redhat,Israel",,
"Philippe Theriault leads Global Sales & Business Development for eNovance. Prior to eNovance, he worked for various Telcos and Services Providers in North America, Europe and Middle-East. Philippe is involved in many industry conferences and was an advisor to some of the largest vendors in information technologies. As a gifted strategist with international perspective, Mr Theriault is also often ask to host workshops for CIO and IT executives.",//static.sched.org/a3/838939/avatar.jpg.75x75px.jpg?07b,Philippe Theriault,"Chief Commercial Officer, eNovance,         eNovance,Canada",,http://www.enovance.com
"We are currently driving development of test and assurance solutions which help to validate emerging technologies in the Software Defined Data Center stack, across compute, storage, network, and including SDN and NFV frameworks.,,Our vision is test and assurance solution that spans the Dev-Lab-Live cycle - speeding up dev test, reducing lab validation cycle, and enabling differentiated SLA for live SDDC / Cloud services.",https://graph.facebook.com/662097922/picture?type=normal,Paul To,"Director, SDN & CLoud,         Spirent,San Mateo, CA",,"http://www.facebook.com/profile.php?id=662097922,http://www.spirent.com"
,,Stig Telfer,"Cray Inc,Bristol, UK",,
,,Steve Tegeler,,,
,,Markku Tiainen,,,
"I currently work full-time on OpenStack for HP. I lead a team that works on running the Developer Infrastructure systems for the project, as well as teams working on OpenStack Deployment (TripleO) and OpenStack Bare Metal (Ironic). I am past PTL of the OpenStack Infra Program and set up the original project gating infrastructure. I currently sit on the Technical Committee. Previously, I was a core developer on Drizzle and was a Senior Consultant for MySQL, Inc. I've been a Python hacker by choice since 2000, and am currently a member of the Python Software Foundation.,I have a degree in Theatre Directing and went to grad school at CalArts in lighting design. The intersection of fields has led me to start more than one business around developing technology for and related to live performance. I continue to work in the theatre, and over the past year have lit shows in New York, Seattle and Austin.",https://graph.facebook.com/501289740/picture?type=normal,Monty Taylor,"Distinguished Engineer, OpenStack Technical Committee Member, OpenStack Foundation Director,         HP,New York, New York","Colette Alexander,Devananda van der Veen,Joshua McKenty,Michael Krotscheck,Mark Atwood","http://www.facebook.com/profile.php?id=501289740,http://inaugust.com/~mordred"
,//pbs.twimg.com/profile_images/3243187301/088465ff766dc88b538b3fc0bde67041_bigger.png,Louis Taylor,,"Doug Hellmann,Diane Mueller,Flavio Percoco,Julien Danjou,Mark McLoughlin,Sean Dague,Thierry Carrez",http://twitter.com/kragniz
,//static.sched.org/a3/460787/avatar.jpg.75x75px.jpg,Kurt Taylor,"OpenStack Development,         IBM,Austin, TX",,
,,John Taylor,,,
,,Angus Thomas,,,
,,John Taylor,,,
",",//static.sched.org/a4/1372982/avatar.jpg.75x75px.jpg,Winnie Tsang,"Software Developer,         IBM",,
,//static.sched.org/a4/1510604/avatar.jpg.75x75px.jpg,Doug Taylor,"GM Cloud Initiatives,         Jabil,Tampa, FL",,http://www.stackvelocity.com
"Marc is a Software Engineer in the CTO Cloud lab in Cisco Systems, in San Jose, CA. He is passionate about Big Data and distributed systems. Particularly, he is interested on how to optimize Big Data on OpenStack by tuning resource placement, network and storage configurations. He is mainly interested in the development and implementation of Ceilometer, Sahara and Heat. He is a MSc from the University of Kent, UK and obtained his BEng at the Autonomous University of Barcelona, Spain.",//static.sched.org/a4/1156707/avatar.jpg.75x75px.jpg,Marc Solanas Tarre,"Big Data on OpenStack R & D,         Cisco Systems,San Francisco Bay Area",,http://www.linkedin.com/in/marcsolanas/
,,Rudrajit Tapadar,,,
,//static.sched.org/a4/1451721/avatar.jpg.75x75px.jpg,Dmitry Tantsur,"Software Engineer,         Red Hat,Brno",,
,https://graph.facebook.com/718735622/picture?type=normal,Stian Tangen,"Digital Garden,Larvik, Norway",Johnny Antonsen,"http://www.facebook.com/profile.php?id=718735622,http://http://http://www.nesjarfutsal.no"
,,TODOR TANEV,,,
"My name is Yaguang Tang. I work for Canonical since 2012 December, I am in Canonical Technical Services Engineering team whose responsibility is developing and working with OpenStack upstream and maintaining customer  projects. Before Canonical, I work for SINA as a OpenStack cloud administrator since 2011 July.",//m3.licdn.com/mpr/mprx/0_T8jL9VDK6Cc9BEmxfkpn9MYAXT_4cumxfXds9Mu3RCBHHHM0DQDdZJ4fodiFNw7P8_0RJO-uMOy3,Yaguang Tang,"Software Engineer,         Canonical,Beijing City, China",,
,https://graph.facebook.com/1368039511/picture?type=normal,Lodewijk Christoffel Tanamal,"Infrastructure Manager,         OLX Indonesia,Jakarta, Indonesia",,"http://www.facebook.com/profile.php?id=1368039511,http://www.olx.co.id"
,//static.sched.org/a4/1155723/avatar.jpg.75x75px.jpg,Albert Tan,"Director, Global Product Management,         Hitachi Data Systems,Santa Clara, CA",,http://www.hds.com/openstack
,https://graph.facebook.com/1604145036/picture?type=normal,Hans Then,"Silvac,Rotterdam, Netherlands",,http://www.facebook.com/profile.php?id=1604145036
OpenStack Guy.,https://graph.facebook.com/653376069/picture?type=normal,Nobuyuki Tamaoki,"Business Development,         VirtualTech Japan,Shibuya-ku, Tokyo, Japan","Hiromichi Itou,Motoyuki Matsuguma,Toru Makabe,Takeshi Nakajima,Tomoaki Nakajima","http://www.facebook.com/profile.php?id=653376069,http://virtualtech.jp"
,https://graph.facebook.com/100002117762147/picture?type=normal,Kentaro Takeda,"Manager,         NTT DATA, Inc.,San Jose, California",,
"I'm responsible support service operation and development  for platform Software and cloud infrastructure software, especially OpenStack in Hitachi,Ltd.",//static.sched.org/a4/1510827/avatar.jpg.75x75px.jpg,Hiroyuki Takatsu,"Director,         Hitachi.Ltd",,
"Yuiko Takada is a software engineer at NEC for 8 years on a wide range of software projects, and developing open source software. She's been an active technical contributor to OpenStack since the havana release.",//static.sched.org/a4/1110185/avatar.jpg.75x75px.jpg?77d,Yuiko Takada,"Software Engineer,         NEC Corporation",,
,,Duncan Thomas,,,
Openstack NfV Mobile Internet,https://media.licdn.com/mpr/mprx/0_N0TLAX1Iindxijij9jAVAbi9TAD03RCjngvsAbCIY-JfOxvg4JldxF9L7MShCp_Avp_ROhKjiK8Y,Abdelnor Tafer,"Consulting Systems Engineer,         Cisco,Paris Area, France",,
,https://media.licdn.com/mpr/mprx/0_CHQ4Y4pWCP1Jd09DGo5wYUS4m1FqdJ9DhftbYUO4l91L9g3SaanqrRE98gboEOc3_Ik6lputNXL_,Davide Tammaro,"R & D Lab manager,         Elmec Informatica,Varese Area, Italy",,"http://twitter.com/Davide_tammaro,http://www.elmec.com"
neutron,,Charles Swiger,"Sysadmin,         Force3,South Charleston, WV",,
"IP/MPLS Networks, SDN & NFV architectures, Enterprise & Service Provider environnements",//static.sched.org/a4/1376424/avatar.jpg.75x75px.jpg,Guilhem Tesseyre,"Solution Manager WAN,         NextiraOne,Lyon, France",,
,,Mark Sutton,"CTO,         CatN,Hampshire, United Kingdon",,http://www.catn.com
,//m.c.lnkd.licdn.com/mpr/mprx/0_3Puunxttz_Xd-6ft3qO1np8OvblJK5Yt_NZ1npCaEk5d73W-Svy84y9hUfA61CxYhKmtMUrQ4D4h,Gergely Szalay,"Business Delivery Manager/Consultant,         - Freelance,Budapest, Hungary",,
"As Chief Cloud Architect working in Vodafone Group Products and Services, Alexis is responsible for the definition and implementation of Vodafone s Global Private and Public Cloud strategies. He is passionate about the transformation that Cloud is bringing to the industry through a strong business case to build value for the Service Providers.  Focusing on the definition of open APIs which can expose both Telecom and IT assets and exploiting the unique value of telecom provider in the ICT era, the Products and Services team is bringing additional demand from internal and external Application developers and ensuring the right balance between innovation and standardization.",//static.sched.org/a3/858620/avatar.jpg.75x75px.jpg,Alexis Susset,"Principal Cloud Technologist,         Vodafone,Düsseldorf, Germany",,http://twitter.com/alexis_susset
"Santhosh Sundararaman is a product manager for OpenStack at VMware, focused on OpenStack integration across VMware's compute, network, storage and management. Santhosh comes from NSBU (Network and Security Business Unit) engineering with a strong background in NSX and network virtualization.",//static.sched.org/a4/1086510/avatar.jpg.75x75px.jpg,Santhosh Sundararaman,"Product Manager for OpenStack,         VMware",,
"http://j3p0uk.wordpress.com/,,https://github.com/j3p0uk,,https://www.linkedin.com/profile/view?id=152044483",https://graph.facebook.com/648505354/picture?type=normal,Jon-Paul Sullivan,"Ennis, Ireland",,"http://www.facebook.com/profile.php?id=648505354,http://j3p0uk.wordpress.com/"
"John’s professional objective is to exceed further in the formulation, architect, design, deployment of cloud and openstack solutions and gain a deeper knowledge of openstack.  John is a Cloud Architect, Lead and Sr. Storage Architect.  John has passionately embraced the cloud revolution.  He has conducted assessments, formulated blue-prints and architected designs for numerous clients in several industries ranging from manufacturing, telecommunications, mobile, entertainment, and government to healthcare.  John delivers due-diligence, expertise, and professional in-depth consultations with over 25 + years of professional consulting (on-site, off-site, remote engagement experience with national and international travel within North America (United States of America and Canada) and Europe. John is a dual citizen – (possess American and Canadian passports).",//static.sched.org/a4/1483142/avatar.jpg.75x75px.jpg,John Sullivan,"Cloud Architect,         SULLECON,Denver, CO  United States",,http://www.sullecon.com/
,//static.sched.org/a4/1464677/avatar.jpg.75x75px.jpg?a26,Anne Sullivan,"Software Developer,         Alcatel-Lucent,Ottawa, Ontario",,
"Dariusz Swiader,Graduated AGH University of Science and  Technology. Involved in IT business for 20 years including 10 years engagement with open systems. Successfully established and constantly develops a business entities extremely concentrated on open systems and their deployment for public and private sectors in CEE region. Dariusz believes Open Source Solutions have allowed many institutions make their quantum leap towards modern, cheaper IT, as well as find their own place in the  global World. Dariusz' role in the ""Cloudbliss"" project, is business opporunity assestment and product's business atributes stress tests.",//static.sched.org/a4/1482948/avatar.jpg.75x75px.jpg,Dariusz Swiader,"CEO,         LinuxPolska Sp. z o.o.,Poland",,http://www.linuxpolska.com
,,hyde sugiyama,,,
"Greg is the Vice President at LinuxPolska, a vendor of Cloudbliss.io - unique Diagnostics & Troubleshooting solution for OpenStack.,He is open to contact with users of OpenStack who want to test drive Cloudbliss.io in their OpenStack implementation.,Moreover Greg is interested in business development opportunities with partners and venture capitals.",//static.sched.org/a4/1482951/avatar.jpg.75x75px.jpg,Grzegorz Sulkowski,"Vice President,         LinuxPolska",,http://www.linuxpolska.com
,//m.c.lnkd.licdn.com/mpr/mprx/0_6X3m4fflthgczzg8khhA4Sx-tQ4czng8XLzA4ugmS52Fo-EhEGACn2d8yaZHnlyuFFiKcIfGXi4n,Tomoe Sugihara,"Software Engineer,         Midokura,Japan","Adam Johnson,Nobuyuki Tamaoki,Ryu Ishimoto,Takeshi Nakajima","http://www.facebook.com/profile.php?id=661908384,http://www.midokura.com"
"Sriram is Founder of Cloud Don LLC (http://www.clouddon.com), a cloud consulting firm focusing on OpenStack services. Sriram is also an individual member of the OpenStack Foundation, passionate about OpenStack s success overall, and in India particularly. Previously he was a lead developer at ComputeNext, building a Federated Cloud Marketplace, where he gained expertise in multiple cloud platforms, including OpenStack. Prior to ComputeNext, he was with various companies like Microsoft, Intel, Hitachi, working on a wide spectrum of technologies like Cloud Computing, Virtualization, Compilers, and Low Power Design. He is passionate about Cloud Computing, Green/ Clean Technology, and Holistic Living.",//static.sched.org/a4/453010/avatar.jpg.75x75px.jpg,Sriram Subramanian,"Founder & Principal Cloud Specialist,         Cloud Don LLC,Seattle, WA, USA","Sajid Akhtar,Anne Gentle,Tristan Goode,Bryan D Payne,Jesse Proudman,Caroline McCrory,Paul Miller,Colin McNamara,Dave Neary, Red Hat,Devananda van der Veen,Doug Hellmann,Diane Mueller,Eric Wright (@DiscoPosse),Yuije Du 杜玉杰,Everett Toews,Ian,Josh Sanderson,Joshua McKenty,Kevin Jackson,Marten Hauville,Mark Atwood,Mark McLoughlin,Manju Ramanathpura,Randy Bias,Rob Hirschfeld,Robert Nicola,Roshan,Ryan  Floyd,Sean M. Collins,Scott Sanchez,Sean Roberts,Tim Bell","http://twitter.com/sriramhere,http://www.clouddon.com"
,,Victoria Taylor,,,
,,Shayne Stubbs,"Sales,         Datera.io,Mt. View, CA",,http://www.datera.io
"Shamail Tahir is a Cloud Architect in the Office of the CTO at EMC, focused on helping to build EMC's OpenStack contribution strategy and enablement along with leading other cloud innovation projects.  He has held multiple roles in technology both as a customer and a vendor.  His background includes working in pre and post-sales engineering as well being a technologist for the VNX product line before joining the Office of the CTO. Shamail is passionate about OpenStack, emerging technologies, implications of technology shifts on datacenter architectures, and driving technology adoption.",//static.sched.org/a4/1369044/avatar.jpg.75x75px.jpg,Shamail Tahir,"Cloud Architect, Office of the CTO,         EMC,Boston, MA","Jesse Proudman,Boris Pavlovic,Caroline McCrory,Colin McNamara,Devananda van der Veen,J,John Griffith,Joshua McKenty,Daniel Krook,Nati Shalom,Neil Levine,Randy Bias,Rob Hirschfeld,Robert Esker,Sage Weil,Thierry Carrez","http://twitter.com/ShamailXD,http://www.emc.com"
http://www.beginningwithi.com/,//static.sched.org/a4/1378952/avatar.jpg.75x75px.jpg,Deirdré Straughan,"Product Marketing, Business Unit Cloud & IP,         Ericsson,San Jose, CA",,http://ericsson.com/cloud
Jirka works on TripleO - an OpenStack deployment tool. He is a software  engineer at Red Hat.,//static.sched.org/a2/510529/avatar.jpg.75x75px.jpg,Jiří Stránský,"Software Engineer,         Red Hat,Brno",,http://twitter.com/jistr
